example_id,sentence_id,task,subject,reference,prediction,seed,run_name,condition,donor_example_id
46a7ec257dfcdaa434b97ecb,b8eb5d6185b62dd4e64c,zuco2_tsr,YAC,"He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.","The film is a mixture of comedy, drama, and suspense, as well as some of the most beautiful music ever made.",312,spectraloom_seed312,wrong_subject,2a8316de0875b4836b8ecafe
ea1b9dbddd0801de6a99e13b,606a8fa9f4a516aa39aa,zuco2_tsr,YAC,He was buried at the foot of Hill Cemetery.,"The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,00a1105f148d800679ceebf3
893c1ad5454aa403276c38be,b19ef393861287803840,zuco2_tsr,YAC,"In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.","In the early 20th century, he was one of the most successful entrepreneurs in the United States, with a career that spanned more than 30",312,spectraloom_seed312,wrong_subject,d2b8125148f884fd54ff4988
6ffacd23c0e993a34c9c8b6b,b7f116e4a0ee48abb1d6,zuco2_tsr,YAC,Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.,"In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,f06dbfcde55658780535e814
0446d915dd5667e6ae0af814,96f10afbbd36d800fae2,zuco2_tsr,YAC,"Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.","In the early 1900s, he was elected to the United States House of Representatives, where he served until his death.",312,spectraloom_seed312,wrong_subject,baaf55b5685accd39ed05838
815c1de99aa697204020b7cf,23b3df36c2c729042a7e,zuco2_tsr,YAC,"As he once joked, he was the youngest ex-governor in the nation's history.","It's a great story, and it's one of the best I've ever read.",312,spectraloom_seed312,wrong_subject,2f8d930d47f0cff538cea080
1ed96312021a8ad7476148c0,9461bfa8b2709cf9872e,zuco2_tsr,YAC,"Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,fd70e7f728dcf6697e05ffe6
e15098ec89adfe4e60c70d87,58e0170e47cbfc958ee1,zuco2_tsr,YAC,"He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,0548d044afc92f1f7b63c4cd
4d55efcc1d94e3e54deceb98,ba02ea2cda127fc9131d,zuco2_tsr,YAC,"In retrospect, many now view Gore as a helpful factor in the 1992 campaign.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,58c82454b697340f071fb6a5
de4608ff6888e82264bd4ac6,044394680382b7ec0c1c,zuco2_tsr,YAC,"He is in the Gaullist political family, currently a member of the UMP.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,5758f041a23bc6e9e0c94837
55579bd31db8dbf1d1ca11ec,e9d6bc8f07ba28b98952,zuco2_tsr,YAC,"The election of fellow-Republican Dwight Eisenhower to the presidency saw Rockefeller appointed first as chair of the President's Advisory Committee on Government Organization and later as an undersecretary in the Department of Health, Education, and Welfare.","In the early 20th century, the United States was one of the largest economies in the world, with a population of more than 100 million.",312,spectraloom_seed312,wrong_subject,2ac563d85984fb0d4d01849a
7de00b49d0222a27beca3421,74b0f8d84efc80e2cf57,zuco2_tsr,YAC,"He graduated from West Point in 1843, ranking 21st in a class of 39.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,693d80a8b41f786a999e1b51
a1c348049865b75de223d3d7,4489f46e25e8e0c87472,zuco2_tsr,YAC,"Brice Lalonde (born February 10, 1946) is a former socialist and Green Party leader in France, who ran for President of France in 1981.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,a7c0849ff08b4775a66c61ff
7a2bbd5c5499c32f001f3ecc,87cf5a65db3d46763d0d,zuco2_tsr,YAC,"Generally regarded as a member of the moderate New Democrat wing of the Democratic Party, he headed the centrist Democratic Leadership Council in 1990 and 1991.","In the early 1900s, he was elected to the United States House of Representatives, where he served until 1913.",312,spectraloom_seed312,wrong_subject,22b6e6a56d479f81bd835aeb
89a7667c4fb21d380511dff3,159e5af67123c2f7b6f9,zuco2_tsr,YAC,Clooney left AMC to run as a Democrat in the 2004 election for a seat in the House of Representatives representing Kentucky's 4th Congressional district.,"In the early 1900s, he was elected to the United States House of Representatives, where he served until his death.",312,spectraloom_seed312,wrong_subject,34e4722a2d756d7d3a5c60d6
b001719b38c0a73977a24cd4,b9aeca60efd307f3d260,zuco2_tsr,YAC,Rupert John Cornford (27 December 1915 - 28 December 1936) was an English poet and communist.,"In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,21512113da27593144b1f838
53a71e53bdd5dca585731313,8f0fd9558b9dbc4af857,zuco2_tsr,YAC,"At the academy, he established a reputation as a fearless and expert horseman.","It's a good story, but it doesn't tell the whole story.",312,spectraloom_seed312,wrong_subject,bc031e8e4fb85ae460ff5ab5
b2400aea1e9460d012c8452d,1b66f1ce06bf34788dbd,zuco2_tsr,YAC,Bush is a lifelong member of the Republican Party and was a businessman in both the oil and professional sports industries.,"In the early 20th century, the United States was one of the most prosperous countries in the world, with a stock market worth more than $",312,spectraloom_seed312,wrong_subject,593f046319f873c6912beee3
d704ecd776190a43079834d8,e844a7b8b1df9d9946fe,zuco2_tsr,YAC,"Bush is a Republican, and has Dick Cheney as his Vice President.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,d7464f4d15ad53b4316212c7
bb044ae04a4474fa4502a386,91845606456b8b7b53df,zuco2_tsr,YAC,He served in the United States Senate as a Republican from Minnesota.,"It's a good story, but it doesn't tell the whole story.",312,spectraloom_seed312,wrong_subject,4a51874a026995a93021bdb3
c6de20d6da0f875d44b9a62d,79beb9bfcc7af480fa3a,zuco2_tsr,YAC,"His father, a tanner, and his mother were born in Pennsylvania.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,4088b5d0cca1a71b33b9b706
e9d7c482e562f2236e3791b4,83e4649da0b4404a6ec4,zuco2_tsr,YAC,Lincoln was the first Republican president.,"The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,5d2621d07a53e62e34b8a9bb
254eaab624a95d8ece4241d2,b2a77931f9d7e8ab2ea4,zuco2_tsr,YAC,"Vasil Petrov Kolarov (July 16, 1877 - January 23, 1950) was a Bulgarian communist political leader.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,29cd88dcd468fa5bae1ca552
6847fc119d18dc57d1352b0a,d7c22fcf9ebbbb66c1b1,zuco2_tsr,YAC,"Walter Ulbricht (June 30, 1893 - August 1, 1973) was a German communist politician.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,6d299de6b4fc5f05b820ce5f
95b2f5a4d186e09c997f3521,53d6b691f2221e7cbba6,zuco2_tsr,YAC,"The contest between the two was bitter, although they differed little on issues.","In the early 20th century, the United States was one of the world’s most prosperous countries.",312,spectraloom_seed312,wrong_subject,3467eae7a9d6f5610e97cec6
497bce573a419ef0eaac38fa,abbcd62967230046c890,zuco2_tsr,YAC,"Hanks is a Democrat and has supported many candidates, including Hilary Clinton, Diane Feinstein, Al Gore, and John Kerry.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a stock market worth more than $",312,spectraloom_seed312,wrong_subject,319d65919483fd852cd0e7f2
4226666b78585699f52f8824,c18164cd38e72362a81a,zuco2_tsr,YAC,"Arnold Alois Schwarzenegger (born July 30, 1947 in Thal, Styria, Austria) is an Austrian-American actor, Republican politician, and bodybuilder, currently serving as the 38th Governor of California.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,46622b5b09742491777b70ea
7b954ae69dd60c659e7239d5,481e37b0eafe3bd01d02,zuco2_tsr,YAC,"He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,8a542e2117da277ea17adb3d
d1dbb9363d56c0c139e63409,3c110411eeabae13c724,zuco2_tsr,YAC,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,de4fd871c09f407191106576
640e5f0232676050c516ed89,61b0d443d10e4757aa4b,zuco2_tsr,YAC,"Diane Julie Abbott (born September 27, 1953 in Paddington, London) is a British Labour Member of Parliament for Hackney North and Stoke Newington constituency.","In the early 1900s, he was elected to the United States House of Representatives, where he served until his death.",312,spectraloom_seed312,wrong_subject,7b69036d50049a18d629e025
63d2f7a1897dba007ca8b9c9,38c1454d4d2e5df11f0a,zuco2_tsr,YAC,"In the Senate, he was aligned with the Federalists.","In the early 1900s, he was elected to the United States House of Representatives.",312,spectraloom_seed312,wrong_subject,6b5800ce6a24196a7a6fcafe
9ded4af65a862ead9b8fdc78,55a22bfaa17bc8e6f1cb,zuco2_tsr,YAC,She is a member of the Democratic Party.,"It's a good story, but it doesn't tell the whole story.",312,spectraloom_seed312,wrong_subject,9df4e1b800133e7c8ddb7668
1aa013eab922e75699b434dd,62b5538551b8637a7ed0,zuco2_tsr,YAC,Koldewey was a self-trained classical era archaeological historian.,"The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,94661544760de0c63d85451d
ad3161d73648224978aafbbc,caa0669b7b909fcdb7d3,zuco2_tsr,YAC,"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.","In the early 1900s, he was elected to the United States House of Representatives from New York City.",312,spectraloom_seed312,wrong_subject,e3f95f8e577d53ee6ca8f5e1
f0d3d8c85232b2fa8fa2050f,727f196791cf60cac1f6,zuco2_tsr,YAC,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.","The film is a mixture of comedy, drama, and suspense, as well as some of the most beautiful music ever made.",312,spectraloom_seed312,wrong_subject,a1562baf54703c2c49c825de
1b6bb283aab782a739c430ef,7216b20dc844e6ab8327,zuco2_tsr,YAC,"Lyman Enos Knapp (November 5, 1837?October 9, 1904) was an American Republican politician who was the Governor of the District of Alaska from 1889 to 1893.","In the early 1900s, he was elected to the United States House of Representatives, where he served until his death.",312,spectraloom_seed312,wrong_subject,578c0b746129ddc28c7ce996
4cb5cbb3fd15c5f763881236,71f67a30471d39652c69,zuco2_tsr,YAC,"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","In the early 20th century, he was one of the most successful entrepreneurs in the United States, with a career that spanned more than two",312,spectraloom_seed312,wrong_subject,6b52369f88cee51fdddf88f8
802992b2da9600b45e0e3a9e,d7107882dc89458a0533,zuco2_tsr,YAC,"When she was seven years old, she returned to England for prep school then went on to Sherborne School for Girls.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,a6db04fa969e8caa4c8803bf
35a77b44456976877064cae5,115ae534ac13be1ffc80,zuco2_tsr,YAC,"John Snow was born in Toledo, Ohio, on August 2, 1939, and studied at Kenyon College and the University of Toledo, from where he graduated in 1962.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a population of more than 100 million",312,spectraloom_seed312,wrong_subject,9e5005b280b9c547db458eed
d6840aae18cf16ccfdc03dd4,db99df5e320c206a47c5,zuco2_tsr,YAC,"Born Anne Mobley in Omaha, Nebraska, she attended Bennington College and became interested in the theatre.","In the early 1900s, he was elected to the United States House of Representatives from New York.",312,spectraloom_seed312,wrong_subject,8050ab3f76c9a04c6dfa6890
75bbdc91661bee2101f98516,509d505359a243ae717a,zuco2_tsr,YAC,"At seventeen he commenced regular medical studies at Charing Cross Hospital, where he had obtained a scholarship, but was kicked out because he had gotten a numberous amount of newly hired nurses pregnant.","In the early 20th century, he was one of the most successful entrepreneurs in the United States, with a career that spanned more than two",312,spectraloom_seed312,wrong_subject,d893b293e3b1e239058651ee
ac5ac497e3eb53aaffb4b9a0,fed5766cd0e88b350c8a,zuco2_tsr,YAC,"In 1825 Darwin went to Edinburgh University to study medicine, but his revulsion at the brutality of surgery led him to neglect his medical studies.","In the early 20th century, he was one of the most successful entrepreneurs in the United States, with a career that spanned more than 30",312,spectraloom_seed312,wrong_subject,b0fe53c96845eb77db59c901
97758167334597a298a96141,de2eacda282694959d5b,zuco2_tsr,YAC,"When he went to the nearby Shrewsbury School the next year, he lived there as a 'boarder'.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,5aeb92528ae2bb3bec470592
d803e2117cbf8f547e25b10b,8c7217600449269c5064,zuco2_tsr,YAC,He was born into a family of Swedish nobility.,"The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,b487d58cd4ff1dc9b527aab5
2fe2fc1c09a90aa9f070071c,42f58c8770a9f97ef6e0,zuco2_tsr,YAC,"He was born in Cambridge, and educated at Stowe School and Trinity College, Cambridge.","In the early 1900s, he was elected to the United States House of Representatives, where he served until 1913.",312,spectraloom_seed312,wrong_subject,06dcf525162d1ba04633ccfb
9061f13ee76249a1d11be17a,bcbaf808c8e83ecfaacf,zuco2_tsr,YAC,"He was educated at Harrow, and in 1869 entered the 83rd Foot.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,b67f18034b437c514832ff46
9fc07f5582ef5d2cf97e3c44,ccfa974679b2f597f580,zuco2_tsr,YAC,Dorothy attended Miss Porter's School and earned a B.A. from Boston College in 1982.,"The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,10af2abfdfe25216e7d04c20
c392eb4b163af5c9f20b5526,1a13731c803a4b83e0ea,zuco2_tsr,YAC,"King Jr. became an associate pastor at Ebenezer in 1948, and his father wrote a letter of recommendation for him to Crozer College.","The film is a mixture of comedy, drama, and suspense.",312,spectraloom_seed312,wrong_subject,a2fd8042dbe608e92ee11358
001f05ec749048d1e081e152,1447814d38ec8d35234a,zuco2_tsr,YAC,"In 1926, King started his ministerial degree at the Morehouse School of Religion.","In the early 20th century, the United States was one of the most prosperous countries in the world, with a stock market worth more than $",312,spectraloom_seed312,wrong_subject,da6ad3a9e060c775c59629de
9e270df5e102a83d8f2438bc,b3c55661d454d534a2c9,zuco2_tsr,YAC,"His father, Richert Vogt von Koch (1838-1913) was a Lieutenant-Colonel in the Royal Horse Guards of Sweden.","The film was nominated for the Academy Award for Best Picture, Best Actress, and Best Actor in a Supporting Role.",312,spectraloom_seed312,wrong_subject,8e5febbfd706ad89acd4642d
